sale_id,product_id,sale_date,quantity,price
1,152,2024-01-01,6,21.02
2,193,2024-01-01,6,97.74
3,115,2024-01-01,5,51.37
4,172,2024-01-01,9,10.48
5,161,2024-01-01,4,94.04
6,121,2024-01-01,7,60.7
7,183,2024-01-01,1,71.42
8,187,2024-01-01,9,54.89
9,175,2024-01-01,7,84.3
10,175,2024-01-01,9,8.15
11,188,2024-01-01,7,30.5
12,200,2024-01-01,2,49.62
13,124,2024-01-01,6,12.28
14,103,2024-01-01,4,72.06
15,122,2024-01-01,3,42.4
16,153,2024-01-01,2,30.9
17,102,2024-01-01,6,5.32
18,188,2024-01-01,8,73.38
19,130,2024-01-01,6,84.21
20,138,2024-01-01,9,42.53
21,102,2024-01-01,5,58.6
22,164,2024-01-01,2,26.63
23,160,2024-01-01,8,64.11
24,121,2024-01-01,9,6.15
25,133,2024-01-02,4,51.42
26,176,2024-01-02,6,66.2
27,158,2024-01-02,8,92.23
28,122,2024-01-02,9,41.23
29,189,2024-01-02,5,77.69
30,149,2024-01-02,6,61.78
31,191,2024-01-02,4,93.07
32,159,2024-01-02,5,42.85
33,142,2024-01-02,7,35.31
34,192,2024-01-02,9,89.28
35,160,2024-01-02,6,9.68
36,180,2024-01-02,6,17.96
37,115,2024-01-02,8,12.83
38,162,2024-01-02,4,85.1
39,162,2024-01-02,3,6.01
40,147,2024-01-02,7,86.86
41,162,2024-01-02,5,47.87
42,151,2024-01-02,2,5.38
43,155,2024-01-02,2,43.16
44,164,2024-01-02,6,22.75
45,103,2024-01-02,8,64.32
46,151,2024-01-02,1,69.54
47,107,2024-01-02,6,51.32
48,121,2024-01-02,2,8.85
49,173,2024-01-03,2,67.33
50,139,2024-01-03,7,84.99
51,118,2024-01-03,1,73.43
52,104,2024-01-03,6,83.85
53,189,2024-01-03,7,24.05
54,160,2024-01-03,8,89.44
55,114,2024-01-03,7,35.61
56,109,2024-01-03,6,6.27
57,190,2024-01-03,9,85.12
58,153,2024-01-03,3,94.47
59,102,2024-01-03,6,67.28
60,184,2024-01-03,4,26.99
61,192,2024-01-03,2,28.92
62,160,2024-01-03,1,49.33
63,171,2024-01-03,1,90.29
64,144,2024-01-03,3,19.21
65,108,2024-01-03,4,83.47
66,147,2024-01-03,2,32.67
67,135,2024-01-03,1,81.82
68,178,2024-01-03,4,92.43
69,181,2024-01-03,7,45.61
70,136,2024-01-03,6,39.68
71,150,2024-01-03,6,81.21
72,104,2024-01-03,9,55.3
73,102,2024-01-04,2,70.02
74,106,2024-01-04,4,64.17
75,154,2024-01-04,5,19.52
76,104,2024-01-04,1,85.26
77,154,2024-01-04,8,23.6
78,193,2024-01-04,8,93.57
79,163,2024-01-04,6,28.8
80,118,2024-01-04,5,74.72
81,190,2024-01-04,8,32.04
82,144,2024-01-04,3,35.19
83,134,2024-01-04,3,34.45
84,174,2024-01-04,2,76.05
85,162,2024-01-04,5,57.9
86,200,2024-01-04,3,88.88
